Offence_Category,Year,Offender_Count,Offender_Rate
08 Theft(i)(j),2018–19,41233.0,
081 Motor vehicle theft,2018–19,5059.0,
082 Theft (except motor vehicles),2018–19,30448.0,
083 Receive or handle proceeds of crime,2018–19,4251.0,
09 Fraud/deception(k),2018–19,11976.0,
091 Obtain benefit by deception,2018–19,9075.0,
092 Forgery and counterfeiting,2018–19,574.0,
093 Deceptive business/government practices,2018–19,109.0,
099 Other fraud and deception offences,2018–19,2131.0,
10 Illicit drug offences(l),2018–19,77208.0,
102 Deal or traffic in illicit drugs,2018–19,9889.0,
103 Manufacture or cultivate illicit drugs,2018–19,5252.0,
104 Possess and/or use illicit drugs,2018–19,52289.0,
11 Weapons/explosives,2018–19,15313.0,
12 Property damage and environmental pollution,2018–19,14628.0,
13 Public order offences(m),2018–19,53583.0,
131 Disorderly conduct,2018–19,24668.0,
132 Regulated public order offences,2018–19,15403.0,
133 Offensive conduct,2018–19,13239.0,
15 Offences against justice(n)(o),2018–19,27466.0,
153 Breach of violence and non-violence orders,2018–19,14622.0,
156 Offences against justice procedures,2018–19,9565.0,
16 Miscellaneous offences,2018–19,15051.0,
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2018–19,,
01 Homicide and related offences(e),2019–20,723.0,
011 Murder,2019–20,317.0,
012 Attempted Murder,2019–20,140.0,
013 Manslaughter and driving causing death,2019–20,269.0,
02 Acts intended to cause injury(f) ,2019–20,78523.0,
021 Assault,2019–20,71745.0,
029 Other acts intended to cause injury,2019–20,6777.0,
03 Sexual assault and related offences(g),2019–20,8678.0,
031 Sexual assault,2019–20,5944.0,
032 Non–assaultive sexual offences,2019–20,2742.0,
04 Dangerous/negligent acts(h),2019–20,1791.0,
05 Abduction/harassment,2019–20,4039.0,
06 Robbery/extortion,2019–20,4270.0,
07 Unlawful entry with intent,2019–20,12323.0,
08 Theft(i)(j),2019–20,39021.0,
081 Motor vehicle theft,2019–20,5433.0,
082 Theft (except motor vehicles),2019–20,28868.0,
083 Receive or handle proceeds of crime,2019–20,4371.0,
09 Fraud/deception(k),2019–20,11553.0,
